id,en,es,de,pt,it,hr
nav_home,Home,Inicio,Startseite,Início,Home,Početna
nav_objectives,Objectives,Objetivos,Ziele,Objetivos,Obiettivi,Ciljevi
nav_organisers,Organisers,Organizadores,Organisatoren,Organizadores,Organizzatori,Organizatori
nav_resources,Resources,Recursos,Ressourcen,Recursos,Risorse,Resursi
description_title,About AI-ASSISTANTS,Acerca de AI-ASSISTANTS,Über AI-ASSISTANTS,Sobre AI-ASSISTANTS,Informazioni sugli AI-ASSISTANTS,Više o AI-ASSISTANTS
description_text,The AI-ASSISTANTS project is dedicated to empowering People with Intellectual Disabilities (PID) through the strategic use of AI-assisted solutions.,El proyecto AI-ASSISTANTS se dedica a empoderar a las Personas con Discapacidades Intelectuales (PID) a través del uso estratégico de soluciones asistidas por IA.,Das AI-ASSISTANTS-Projekt widmet sich der Stärkung von Menschen mit geistigen Behinderungen (PID) durch den strategischen Einsatz von KI-gestützten Lösungen.,O projeto AI-ASSISTANTS é dedicado a capacitar Pessoas com Deficiências Intelectuais (PID) por meio do uso estratégico de soluções assistidas por IA.,Il progetto AI-ASSISTANTS è dedicato a potenziare le Persone con Disabilità Intellettive (PID) attraverso l'uso strategico di soluzioni assistiteda IA.,Projekt AI-ASSISTANTS posvećen je osnaživanju osoba s intelektualnim teškoćama (PID) kroz strateško korištenje rješenja asistiranih umjetnom inteligencijom.
