id,term_en,def_en,term_es,def_es,term_de,def_de,term_pt,def_pt,term_it,def_it,term_hr,def_hr,term_fr,def_fr
1,AI,Artificial Intelligence,IA,Inteligencia Artificial,KI,Künstliche Intelligenz,IA,Inteligência Artificial,IA,Intelligenza Artificiale,AI,Umjetna Inteligencija,IA,Intelligence Artificielle
2,PID,People with Intellectual Disabilities,PID,Personas con Discapacidad Intelectual,PID,Menschen mit Lern- und Verständnisschwierigkeiten,PID,Pessoas com Dificuldades Intelectuais,PID,Persone con Disabilità Intellettiva,PID,Osobe s intelektualnim teškoćama,PHI,Personnes handicapées intellectuelles
3,PDID,People with Intellectual and Developmental Disabilities,PDID,Personas con Discapacidad Intelectual y del Desarrollo,PDID,Menschen mit intellektuellen und entwicklungsbedingten Behinderungen,PDID,Pessoas com Dificuldades Intelectuais e Desenvolvimentais,PDID,Persone con Disabilità Intellettiva e dello Sviluppo,PDID,Osobe s intelektualnim i razvojnim teškoćama,PHID,Personnes handicapées intellectuelles et développementales
4,Digital Literacy,Skills to use and understand digital technologies.,Alfabetización Digital,Habilidades para usar y entender las tecnologías digitales.,Digitale Kompetenz,Fähigkeiten zur Nutzung und zum Verständnis digitaler Technologien.,Literacia Digital,Competências para utilizar e compreender as tecnologias digitais.,Alfabetizzazione Digitale,Competenze per utilizzare e comprendere le tecnologie digitali.,Digitalna pismenost,Vještine korištenja i razumijevanja digitalnih tehnologija.,Littératie numérique,Compétences pour utiliser et comprendre les technologies numériques.
5,Independent Living,Ability to live with autonomy and make own choices.,Vida Independiente,Capacidad de vivir con autonomía y tomar sus propias decisiones.,Selbstbestimmtes Leben,"Fähigkeit, autonom zu leben und eigene Entscheidungen zu treffen.",Vida Independente,Capacidade de viver com autonomia e tomar as suas próprias decisões.,Vita Indipendente,Capacità di vivere con autonomia e fare le proprie scelte.,Neovisno življenje,Sposobnost autonomnog življenja i donošenja vlastitih odluka.,Vie autonome,Capacité à vivre avec autonomie et à faire ses propres choix.
